Java HotSpot(TM) 64-Bit Server VM (25.211-b12) for windows-amd64 JRE (1.8.0_211-b12), built on Apr  1 2019 20:53:26 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16640612k(9345172k free), swap 16640612k(7550344k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
2020-10-27T20:54:56.110+0800: 9.110: [GC (Allocation Failure) 2020-10-27T20:54:56.110+0800: 9.110: [DefNew: 629119K->69887K(629120K), 0.0175625 secs] 1786541K->1305655K(2027264K), 0.0176148 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2020-10-27T20:54:56.275+0800: 9.275: [GC (Allocation Failure) 2020-10-27T20:54:56.275+0800: 9.275: [DefNew: 629119K->69887K(629120K), 0.0185962 secs] 1864887K->1382370K(2027264K), 0.0186503 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2020-10-27T20:54:56.450+0800: 9.449: [GC (Allocation Failure) 2020-10-27T20:54:56.450+0800: 9.449: [DefNew: 629119K->629119K(629120K), 0.0000136 secs]2020-10-27T20:54:56.450+0800: 9.449: [Tenured: 1312482K->252143K(1398144K), 0.0253242 secs] 1941602K->252143K(2027264K), [Metaspace: 2707K->2707K(1056768K)], 0.0254028 secs] [Times: user=0.02 sys=0.00, real=0.03 secs] 
2020-10-27T20:54:56.635+0800: 9.635: [GC (Allocation Failure) 2020-10-27T20:54:56.635+0800: 9.635: [DefNew: 559232K->69887K(629120K), 0.0147799 secs] 811375K->374935K(2027264K), 0.0148357 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2020-10-27T20:54:56.780+0800: 9.779: [GC (Allocation Failure) 2020-10-27T20:54:56.780+0800: 9.779: [DefNew: 629119K->69887K(629120K), 0.0173330 secs] 934167K->447440K(2027264K), 0.0173887 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2020-10-27T20:54:56.924+0800: 9.924: [GC (Allocation Failure) 2020-10-27T20:54:56.924+0800: 9.924: [DefNew: 629119K->69885K(629120K), 0.0164052 secs] 1006672K->509572K(2027264K), 0.0164595 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2020-10-27T20:54:57.069+0800: 10.068: [GC (Allocation Failure) 2020-10-27T20:54:57.069+0800: 10.068: [DefNew: 629117K->69888K(629120K), 0.0172952 secs] 1068804K->584616K(2027264K), 0.0173495 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
Heap
 def new generation   total 629120K, used 164263K [0x0000000080000000, 0x00000000aaaa0000, 0x00000000aaaa0000)
  eden space 559232K,  16% used [0x0000000080000000, 0x0000000085c29ef8, 0x00000000a2220000)
  from space 69888K, 100% used [0x00000000a6660000, 0x00000000aaaa0000, 0x00000000aaaa0000)
  to   space 69888K,   0% used [0x00000000a2220000, 0x00000000a2220000, 0x00000000a6660000)
 tenured generation   total 1398144K, used 514728K [0x00000000aaaa0000, 0x0000000100000000, 0x0000000100000000)
   the space 1398144K,  36% used [0x00000000aaaa0000, 0x00000000ca14a0d0, 0x00000000ca14a200, 0x0000000100000000)
 Metaspace       used 2714K, capacity 4490K, committed 4864K, reserved 1056768K
  class space    used 291K, capacity 386K, committed 512K, reserved 1048576K
