Java HotSpot(TM) 64-Bit Server VM (25.211-b12) for windows-amd64 JRE (1.8.0_211-b12), built on Apr  1 2019 20:53:26 by "java_re" with MS VC++ 10.0 (VS2010)
2020-10-27T20:54:18.830+0800: 2.649: [GC (Allocation Failure) [PSYoungGen: 255942K->60167K(274432K)] 666903K->507999K(973824K), 0.0098875 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:18.894+0800: 2.714: [GC (Allocation Failure) [PSYoungGen: 261383K->65628K(269824K)] 709215K->552024K(969216K), 0.0115259 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:18.975+0800: 2.794: [GC (Allocation Failure) [PSYoungGen: 261212K->54632K(272384K)] 747608K->586056K(971776K), 0.0167923 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2020-10-27T20:54:19.054+0800: 2.873: [GC (Allocation Failure) [PSYoungGen: 250216K->57570K(275456K)] 781640K->625716K(974848K), 0.0137341 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:19.135+0800: 2.953: [GC (Allocation Failure) [PSYoungGen: 258274K->55804K(274432K)] 826420K->665212K(973824K), 0.0134280 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:19.218+0800: 3.036: [GC (Allocation Failure) [PSYoungGen: 256508K->56799K(278016K)] 865916K->703209K(977408K), 0.0107941 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:19.277+0800: 3.096: [GC (Allocation Failure) [PSYoungGen: 262623K->61747K(276992K)] 909033K->747519K(976384K), 0.0129403 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:19.290+0800: 3.109: [Full GC (Ergonomics) [PSYoungGen: 61747K->0K(276992K)] [ParOldGen: 685771K->189855K(699392K)] 747519K->189855K(976384K), [Metaspace: 2700K->2700K(1056768K)], 0.0245544 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2020-10-27T20:54:19.374+0800: 3.192: [GC (Allocation Failure) [PSYoungGen: 205824K->61618K(275968K)] 395679K->251473K(975360K), 0.0067688 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:19.428+0800: 3.247: [GC (Allocation Failure) [PSYoungGen: 265394K->60110K(276480K)] 455249K->292849K(975872K), 0.0109673 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:19.498+0800: 3.316: [GC (Allocation Failure) [PSYoungGen: 263886K->63273K(275456K)] 496625K->335255K(974848K), 0.0108444 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:19.565+0800: 3.383: [GC (Allocation Failure) [PSYoungGen: 266025K->56570K(275968K)] 538007K->372484K(975360K), 0.0122441 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:19.635+0800: 3.453: [GC (Allocation Failure) [PSYoungGen: 259322K->61328K(276480K)] 575236K->414192K(975872K), 0.0107077 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:19.703+0800: 3.522: [GC (Allocation Failure) [PSYoungGen: 266128K->57949K(276992K)] 618992K->451031K(976384K), 0.0107804 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:19.766+0800: 3.584: [GC (Allocation Failure) [PSYoungGen: 262729K->63753K(276480K)] 655811K->497487K(975872K), 0.0105167 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:19.829+0800: 3.647: [GC (Allocation Failure) [PSYoungGen: 269577K->63760K(269824K)] 703311K->545156K(969216K), 0.0121085 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:19.896+0800: 3.715: [GC (Allocation Failure) [PSYoungGen: 269584K->60701K(277504K)] 750980K->584534K(976896K), 0.0108468 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:19.952+0800: 3.770: [GC (Allocation Failure) [PSYoungGen: 266013K->51662K(276992K)] 789846K->618335K(976384K), 0.0108922 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:20.014+0800: 3.833: [GC (Allocation Failure) [PSYoungGen: 256974K->59456K(278528K)] 823647K->661589K(977920K), 0.0121761 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:20.093+0800: 3.912: [GC (Allocation Failure) [PSYoungGen: 266304K->59387K(277504K)] 868437K->702601K(976896K), 0.0116061 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:20.186+0800: 4.005: [GC (Allocation Failure) [PSYoungGen: 266235K->58128K(280064K)] 909449K->741670K(979456K), 0.0107675 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:20.197+0800: 4.016: [Full GC (Ergonomics) [PSYoungGen: 58128K->0K(280064K)] [ParOldGen: 683541K->187771K(699392K)] 741670K->187771K(979456K), [Metaspace: 2700K->2700K(1056768K)], 0.0228423 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2020-10-27T20:54:20.279+0800: 4.097: [GC (Allocation Failure) [PSYoungGen: 209920K->64292K(279040K)] 397691K->252064K(978432K), 0.0080932 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:20.355+0800: 4.173: [GC (Allocation Failure) [PSYoungGen: 274212K->59672K(280064K)] 461984K->290218K(979456K), 0.0105312 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:20.422+0800: 4.241: [GC (Allocation Failure) [PSYoungGen: 269592K->62802K(279040K)] 500138K->331054K(978432K), 0.0133364 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:20.506+0800: 4.325: [GC (Allocation Failure) [PSYoungGen: 272722K->61778K(279552K)] 540974K->371159K(978944K), 0.0110800 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:20.572+0800: 4.390: [GC (Allocation Failure) [PSYoungGen: 271698K->62334K(279552K)] 581079K->411034K(978944K), 0.0110338 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:20.632+0800: 4.450: [GC (Allocation Failure) [PSYoungGen: 271512K->63006K(279552K)] 620213K->450860K(978944K), 0.0111715 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:20.695+0800: 4.513: [GC (Allocation Failure) [PSYoungGen: 272926K->61299K(279552K)] 660780K->494757K(978944K), 0.0112183 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:20.756+0800: 4.574: [GC (Allocation Failure) [PSYoungGen: 271219K->57722K(280576K)] 704677K->532205K(979968K), 0.0104852 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:20.814+0800: 4.633: [GC (Allocation Failure) [PSYoungGen: 269178K->66748K(278528K)] 743661K->583644K(977920K), 0.0144690 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:20.878+0800: 4.697: [GC (Allocation Failure) [PSYoungGen: 278204K->60079K(279552K)] 795100K->616421K(978944K), 0.0127193 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:20.950+0800: 4.769: [GC (Allocation Failure) [PSYoungGen: 269487K->64430K(279040K)] 825829K->661183K(978432K), 0.0116873 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:21.019+0800: 4.838: [GC (Allocation Failure) [PSYoungGen: 273838K->61594K(279552K)] 870591K->705145K(978944K), 0.0113076 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:21.086+0800: 4.905: [GC (Allocation Failure) [PSYoungGen: 271002K->58732K(279040K)] 914553K->740227K(978432K), 0.0106192 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:21.097+0800: 4.915: [Full GC (Ergonomics) [PSYoungGen: 58732K->0K(279040K)] [ParOldGen: 681495K->182521K(699392K)] 740227K->182521K(978432K), [Metaspace: 2700K->2700K(1056768K)], 0.0215731 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2020-10-27T20:54:21.186+0800: 5.005: [GC (Allocation Failure) [PSYoungGen: 209273K->67170K(276992K)] 391794K->249691K(976384K), 0.0093993 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:21.258+0800: 5.077: [GC (Allocation Failure) [PSYoungGen: 275042K->64747K(278528K)] 457563K->293546K(977920K), 0.0139149 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:21.333+0800: 5.151: [GC (Allocation Failure) [PSYoungGen: 272503K->62017K(279040K)] 501302K->330108K(978432K), 0.0104779 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:21.396+0800: 5.214: [GC (Allocation Failure) [PSYoungGen: 270401K->55086K(278528K)] 538492K->363896K(977920K), 0.0106324 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:21.457+0800: 5.276: [GC (Allocation Failure) [PSYoungGen: 263470K->58562K(279040K)] 572280K->399469K(978432K), 0.0101398 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:21.532+0800: 5.351: [GC (Allocation Failure) [PSYoungGen: 267458K->66990K(275968K)] 608365K->447113K(975360K), 0.0105923 secs] [Times: user=0.00 sys=0.03, real=0.01 secs] 
2020-10-27T20:54:21.622+0800: 5.441: [GC (Allocation Failure) [PSYoungGen: 275886K->62210K(278528K)] 656009K->486448K(977920K), 0.0142922 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2020-10-27T20:54:21.694+0800: 5.512: [GC (Allocation Failure) [PSYoungGen: 269570K->60306K(278016K)] 693808K->527186K(977408K), 0.0128130 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:21.762+0800: 5.581: [GC (Allocation Failure) [PSYoungGen: 267666K->56640K(279040K)] 734546K->563796K(978432K), 0.0101984 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:21.843+0800: 5.661: [GC (Allocation Failure) [PSYoungGen: 265536K->65334K(274432K)] 772692K->608637K(973824K), 0.0104278 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:21.909+0800: 5.728: [GC (Allocation Failure) [PSYoungGen: 274230K->64489K(277504K)] 817533K->655543K(976896K), 0.0115467 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:21.976+0800: 5.795: [GC (Allocation Failure) [PSYoungGen: 271337K->60866K(278016K)] 862391K->696045K(977408K), 0.0108575 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:22.044+0800: 5.863: [GC (Allocation Failure) [PSYoungGen: 267714K->64605K(278016K)] 902893K->734750K(977408K), 0.0111789 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:22.055+0800: 5.874: [Full GC (Ergonomics) [PSYoungGen: 64605K->0K(278016K)] [ParOldGen: 670145K->191153K(699392K)] 734750K->191153K(977408K), [Metaspace: 2700K->2700K(1056768K)], 0.0235457 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-10-27T20:54:22.156+0800: 5.974: [GC (Allocation Failure) [PSYoungGen: 207872K->64132K(278528K)] 399025K->255286K(977920K), 0.0074374 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:22.224+0800: 6.042: [GC (Allocation Failure) [PSYoungGen: 272004K->61872K(279552K)] 463158K->296959K(978944K), 0.0103900 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:22.283+0800: 6.102: [GC (Allocation Failure) [PSYoungGen: 270656K->66661K(278528K)] 505744K->344876K(977920K), 0.0114714 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:22.355+0800: 6.174: [GC (Allocation Failure) [PSYoungGen: 275557K->58893K(278528K)] 553772K->380568K(977920K), 0.0109430 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:22.418+0800: 6.237: [GC (Allocation Failure) [PSYoungGen: 266765K->60003K(278528K)] 588440K->420733K(977920K), 0.0106354 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:22.492+0800: 6.310: [GC (Allocation Failure) [PSYoungGen: 267513K->57861K(279040K)] 628243K->458719K(978432K), 0.0104857 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:22.572+0800: 6.390: [GC (Allocation Failure) [PSYoungGen: 266757K->59006K(279040K)] 667615K->497468K(978432K), 0.0106378 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:22.636+0800: 6.455: [GC (Allocation Failure) [PSYoungGen: 267902K->65652K(278528K)] 706364K->543352K(977920K), 0.0107560 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:22.690+0800: 6.509: [GC (Allocation Failure) [PSYoungGen: 274548K->52833K(262144K)] 752248K->576278K(961536K), 0.0099550 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:22.760+0800: 6.579: [GC (Allocation Failure) [PSYoungGen: 261508K->68387K(274944K)] 784952K->624815K(974336K), 0.0107085 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:22.820+0800: 6.638: [GC (Allocation Failure) [PSYoungGen: 271538K->58995K(276480K)] 827966K->661101K(975872K), 0.0113351 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:22.880+0800: 6.698: [GC (Allocation Failure) [PSYoungGen: 262771K->58355K(277504K)] 864877K->703987K(976896K), 0.0115344 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:22.957+0800: 6.776: [GC (Allocation Failure) [PSYoungGen: 263436K->58937K(276992K)] 909067K->747187K(976384K), 0.0105215 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:22.968+0800: 6.786: [Full GC (Ergonomics) [PSYoungGen: 58937K->0K(276992K)] [ParOldGen: 688250K->189826K(699392K)] 747187K->189826K(976384K), [Metaspace: 2707K->2707K(1056768K)], 0.0227064 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2020-10-27T20:54:23.050+0800: 6.869: [GC (Allocation Failure) [PSYoungGen: 205312K->55352K(278016K)] 395138K->245179K(977408K), 0.0055547 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:23.120+0800: 6.939: [GC (Allocation Failure) [PSYoungGen: 262200K->62042K(278016K)] 452027K->288211K(977408K), 0.0101188 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:23.200+0800: 7.019: [GC (Allocation Failure) [PSYoungGen: 268890K->57721K(279040K)] 495059K->323647K(978432K), 0.0103368 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:23.264+0800: 7.082: [GC (Allocation Failure) [PSYoungGen: 266105K->60963K(278528K)] 532031K->365733K(977920K), 0.0103471 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:23.323+0800: 7.141: [GC (Allocation Failure) [PSYoungGen: 269347K->67484K(275968K)] 574117K->410421K(975360K), 0.0109236 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:23.393+0800: 7.212: [GC (Allocation Failure) [PSYoungGen: 274332K->55497K(278016K)] 617269K->445728K(977408K), 0.0106075 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:23.467+0800: 7.286: [GC (Allocation Failure) [PSYoungGen: 262345K->57282K(278528K)] 652576K->484813K(977920K), 0.0130994 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:23.540+0800: 7.359: [GC (Allocation Failure) [PSYoungGen: 264642K->63825K(278016K)] 692173K->529225K(977408K), 0.0107557 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:23.600+0800: 7.418: [GC (Allocation Failure) [PSYoungGen: 271185K->64212K(278016K)] 736585K->570152K(977408K), 0.0112150 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:23.667+0800: 7.485: [GC (Allocation Failure) [PSYoungGen: 271060K->60554K(278016K)] 777000K->605521K(977408K), 0.0107166 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:23.731+0800: 7.550: [GC (Allocation Failure) [PSYoungGen: 267402K->61512K(279552K)] 812369K->647482K(978944K), 0.0108279 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:23.790+0800: 7.609: [GC (Allocation Failure) [PSYoungGen: 270920K->67438K(276992K)] 856890K->698851K(976384K), 0.0120913 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:23.851+0800: 7.670: [GC (Allocation Failure) [PSYoungGen: 276846K->61754K(279040K)] 908259K->739307K(978432K), 0.0111894 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
